Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
307841000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307849000,– – – [с 05.06.20] прочие/[по 04.06.20] прочие,-,"0,07"
307870000,– – морские ушки (Haliotis spp.) прочие,,
307871000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307879000,– – – прочие,-,"0,05"
307880000,– – стромбусы (Strombus spp.) прочие,,
307881000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307889000,– – – прочие,-,"0,07"
30790,"– [с 01.01.22] прочие/[по 31.12.21] прочие, включая муку тонкого и грубого помола и гранулы, пригодные для употребления в пищу",,
307910000,"– – живые, свежие или охлажденные",-,"0,05"
307920000,– – мороженые:,,
307922000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307928000,– – – прочие,-,"0,07"
307990000,– – прочие:,,
307992000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307998000,– – – прочие,-,"0,07"
308,"[с 01.01.22] Водные беспозвоночные, кроме ракообразных и моллюсков, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; водные беспозвоночные, кроме ракообразных и моллюсков, копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения/[по 31.12.21] Водные беспозвоночные, кроме ракообразных и моллюсков, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; водные беспозвоночные, кроме ракообразных и моллюсков, копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; мука тонкого и грубого помола и гранулы из водных беспозвоночных, кроме ракообразных и моллюсков, пригодные для употребления в пищу",,
30810,"– голотурии (Stichopus japonicus, Holothuroidea):",,
308110000,"– – живые, свежие или охлажденные",-,"0,05"
308120000,– – мороженые:,,
308121000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
308129000,– – – прочие,-,"0,07"
308190000,– – прочие:,,
308192000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
308199000,– – – прочие,-,"0,05"
30820,"– морские ежи (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus):",,
308210000,"– – живые, свежие или охлажденные",-,"0,05"
308220000,– – мороженые:,,
308221000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
308229000,– – – прочие,-,"0,07"
308290000,– – прочие:,,
308292000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
308299000,– – – прочие,-,"0,05"
30830,– медузы (Rhopilema spp.):,,
308301000,"– – живые, свежие или охлажденные",-,"0,05"
308303000,"– – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
308305000,– – мороженые,-,"0,07"
308309000,– – прочие,-,"0,05"
30890,– прочие:,,
308902000,"– – живые, свежие или охлажденные",-,"0,05"
308903000,"– – водные беспозвоночные, кроме ракообразных и моллюсков, копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
308906000,– – мороженые,-,"0,07"
308908000,– – прочие,-,"0,05"
309,"Мука тонкого и грубого помола и гранулы из рыбы, ракообразных, моллюсков и прочих водных беспозвоночных, пригодные для употребления в пищу",,
309100000,– из рыбы,-,"0,05"
30990,– прочие:,,
309900001,– – мороженые,-,"0,07"
309900002,– – свежие или охлажденные:,,
309900004,– – – из ракообразных,-,"0,08"
309900005,– – – из прочих,-,"0,05"
309900006,– – прочие:,,
309900007,– – – из ракообразных,-,"0,08"
309900008,– – – из моллюсков,-,"0,07"
